Time,AI6
2019-11-05 13:45:32,90
2019-11-05 13:45:35,
2019-11-05 13:45:36,90
2019-11-05 13:45:37,90
2019-11-05 13:45:38,90
2019-11-05 13:45:39,90
2019-11-05 13:45:40,90
2019-11-05 13:45:41,90
2019-11-05 13:45:42,90
2019-11-05 13:45:43,90
2019-11-05 13:45:44,90
2019-11-05 13:45:45,90
2019-11-05 13:45:46,90
2019-11-05 13:45:47,90
2019-11-05 13:45:48,90
2019-11-05 13:45:49,90
2019-11-05 13:45:50,90
2019-11-05 13:45:51,90
2019-11-05 13:45:52,90
2019-11-05 13:45:53,90
2019-11-05 13:45:54,90
2019-11-05 13:45:55,90
2019-11-05 13:45:56,90
2019-11-05 13:45:57,90
2019-11-05 13:45:58,90
2019-11-05 13:45:59,90
2019-11-05 13:46:00,90
2019-11-05 13:46:01,90
2019-11-05 13:46:02,90
2019-11-05 13:46:03,90
2019-11-05 13:46:04,90
2019-11-05 13:46:05,90
2019-11-05 13:46:06,90
2019-11-05 13:46:11,90
2019-11-05 13:46:12,90
2019-11-05 13:46:13,90
2019-11-05 13:46:14,89
2019-11-05 13:46:15,90
2019-11-05 13:46:16,90
2019-11-05 13:46:17,89
2019-11-05 13:46:18,90
2019-11-05 13:46:19,89
2019-11-05 13:46:20,89
2019-11-05 13:46:21,89
2019-11-05 13:46:22,90
2019-11-05 13:46:23,90
2019-11-05 13:46:24,90
2019-11-05 13:46:25,90
2019-11-05 13:46:26,90
2019-11-05 13:46:27,90
2019-11-05 13:46:28,90
2019-11-05 13:46:29,90
2019-11-05 13:46:30,90
2019-11-05 13:46:31,90
2019-11-05 13:46:32,90
2019-11-05 13:46:33,90
2019-11-05 13:46:34,90
2019-11-05 13:46:35,90
2019-11-05 13:46:36,90
2019-11-05 13:46:37,90
2019-11-05 13:46:38,90
2019-11-05 13:46:39,90
2019-11-05 13:46:40,90
2019-11-05 13:46:41,90
2019-11-05 13:46:42,90
2019-11-05 13:46:43,90
2019-11-05 13:46:44,90
2019-11-05 13:46:45,90
2019-11-05 13:46:46,90
2019-11-05 13:46:47,90
2019-11-05 13:46:48,90
2019-11-05 13:46:49,90
2019-11-05 13:46:50,90
2019-11-05 13:46:51,90
2019-11-05 13:46:52,90
2019-11-05 13:46:53,90
2019-11-05 13:46:54,90
2019-11-05 13:46:55,90
2019-11-05 13:46:56,90
2019-11-05 13:46:57,90
2019-11-05 13:46:58,90
2019-11-05 13:46:59,90
2019-11-05 13:47:00,90
2019-11-05 13:47:01,90
2019-11-05 13:47:02,90
2019-11-05 13:47:03,90
2019-11-05 13:47:04,90
2019-11-05 13:47:05,90
2019-11-05 13:47:06,90
2019-11-05 13:47:07,90
2019-11-05 13:47:08,90
2019-11-05 13:47:09,90
2019-11-05 13:47:10,90
2019-11-05 13:47:11,90
2019-11-05 13:47:12,90
2019-11-05 13:47:13,90
2019-11-05 13:47:14,90
2019-11-05 13:47:15,90
2019-11-05 13:47:16,90
2019-11-05 13:47:17,90
2019-11-05 13:47:18,90
2019-11-05 13:47:19,90
2019-11-05 13:47:20,90
2019-11-05 13:47:21,90
2019-11-05 13:47:22,90
2019-11-05 13:47:23,90
2019-11-05 13:47:24,90
2019-11-05 13:47:25,90
2019-11-05 13:47:26,90
2019-11-05 13:47:27,90
2019-11-05 13:47:28,90
2019-11-05 13:47:29,90
2019-11-05 13:47:30,90
2019-11-05 13:47:31,90
2019-11-05 13:47:32,90
2019-11-05 13:47:33,90
2019-11-05 13:47:34,90
2019-11-05 13:47:35,90
2019-11-05 13:47:36,90
2019-11-05 13:47:37,90
2019-11-05 13:47:38,90
2019-11-05 13:47:39,89
2019-11-05 13:47:40,89
2019-11-05 13:47:41,89
2019-11-05 13:47:42,89
2019-11-05 13:47:43,89
2019-11-05 13:47:44,89
2019-11-05 13:47:45,89
2019-11-05 13:47:46,89
2019-11-05 13:47:47,89
2019-11-05 13:47:48,89
2019-11-05 13:47:49,89
2019-11-05 13:47:50,89
2019-11-05 13:47:51,89
2019-11-05 13:47:52,89
2019-11-05 13:47:53,89
2019-11-05 13:47:54,89
2019-11-05 13:47:55,89
2019-11-05 13:47:56,89
2019-11-05 13:47:57,89
2019-11-05 13:47:58,89
2019-11-05 13:47:59,89
2019-11-05 13:48:00,89
2019-11-05 13:48:01,89
2019-11-05 13:48:02,89
2019-11-05 13:48:03,89
2019-11-05 13:48:04,89
2019-11-05 13:48:05,89
2019-11-05 13:48:06,89
2019-11-05 13:48:07,89
2019-11-05 13:48:08,89
2019-11-05 13:48:09,89
2019-11-05 13:48:10,89
2019-11-05 13:48:11,89
2019-11-05 13:48:12,89
2019-11-05 13:48:13,89
2019-11-05 13:48:14,89
2019-11-05 13:48:15,89
2019-11-05 13:48:16,89
2019-11-05 13:48:17,89
2019-11-05 13:48:18,89
2019-11-05 13:48:19,89
2019-11-05 13:48:20,89
2019-11-05 13:48:21,89
2019-11-05 13:48:22,89
2019-11-05 13:48:24,89
2019-11-05 13:48:26,89
2019-11-05 13:48:27,89
2019-11-05 13:48:29,89
2019-11-05 13:48:30,89
2019-11-05 13:48:31,89
2019-11-05 13:48:32,89
2019-11-05 13:48:33,89
2019-11-05 13:48:34,89
