Time,AI5,AI6
2019-11-06 10:31:30,235,115
2019-11-06 10:31:31,235,115
2019-11-06 10:31:32,235,115
2019-11-06 10:31:33,235,115
2019-11-06 10:31:34,235,115
2019-11-06 10:31:35,235,115
2019-11-06 10:31:36,235,115
2019-11-06 10:31:37,235,115
2019-11-06 10:31:38,235,115
2019-11-06 10:31:39,235,115
2019-11-06 10:31:40,235,115
2019-11-06 10:31:41,235,115
2019-11-06 10:31:42,235,115
2019-11-06 10:31:43,235,115
2019-11-06 10:31:44,235,115
2019-11-06 10:31:45,235,115
2019-11-06 10:31:46,235,115
2019-11-06 10:31:47,235,115
2019-11-06 10:31:48,235,115
2019-11-06 10:31:49,235,115
2019-11-06 10:31:50,235,115
2019-11-06 10:31:51,235,115
2019-11-06 10:31:52,235,115
2019-11-06 10:31:53,235,115
2019-11-06 10:31:54,235,115
2019-11-06 10:31:55,235,115
2019-11-06 10:31:56,235,115
2019-11-06 10:31:57,235,115
2019-11-06 10:31:58,235,115
2019-11-06 10:31:59,235,115
2019-11-06 10:32:00,235,115
2019-11-06 10:32:01,235,115
2019-11-06 10:32:02,235,115
2019-11-06 10:32:03,235,115
2019-11-06 10:32:04,235,115
2019-11-06 10:32:05,235,115
2019-11-06 10:32:06,235,115
2019-11-06 10:32:07,235,115
2019-11-06 10:32:08,235,115
2019-11-06 10:32:09,235,115
2019-11-06 10:32:10,235,115
2019-11-06 10:32:11,235,115
2019-11-06 10:32:12,235,115
2019-11-06 10:32:13,235,115
2019-11-06 10:32:14,235,115
2019-11-06 10:32:15,235,115
2019-11-06 10:32:16,235,115
2019-11-06 10:32:17,235,115
2019-11-06 10:32:18,235,115
2019-11-06 10:32:19,235,115
2019-11-06 10:32:20,235,115
2019-11-06 10:32:21,235,115
2019-11-06 10:32:22,235,115
2019-11-06 10:32:23,235,115
2019-11-06 10:32:24,235,115
2019-11-06 10:32:25,235,115
2019-11-06 10:32:26,235,115
2019-11-06 10:32:27,235,115
2019-11-06 10:32:28,235,115
2019-11-06 10:32:29,235,115
2019-11-06 10:32:30,235,115
2019-11-06 10:32:31,235,115
2019-11-06 10:32:32,235,115
2019-11-06 10:32:33,235,115
2019-11-06 10:32:34,235,115
2019-11-06 10:32:35,235,115
2019-11-06 10:32:36,235,115
2019-11-06 10:32:37,235,114
2019-11-06 10:32:38,235,114
2019-11-06 10:32:39,235,114
2019-11-06 10:32:40,234,114
2019-11-06 10:32:41,234,114
2019-11-06 10:32:42,234,114
2019-11-06 10:32:43,234,114
2019-11-06 10:32:44,234,114
2019-11-06 10:32:45,234,114
2019-11-06 10:32:46,234,114
2019-11-06 10:32:47,234,114
2019-11-06 10:32:48,234,114
2019-11-06 10:32:49,234,114
2019-11-06 10:32:50,234,114
2019-11-06 10:32:51,234,114
2019-11-06 10:32:52,234,114
2019-11-06 10:32:53,234,114
2019-11-06 10:32:54,234,114
2019-11-06 10:32:55,234,114
2019-11-06 10:32:56,234,114
2019-11-06 10:32:57,234,114
2019-11-06 10:32:58,234,114
2019-11-06 10:32:59,234,114
2019-11-06 10:33:00,234,114
2019-11-06 10:33:01,234,114
2019-11-06 10:33:02,234,114
2019-11-06 10:33:03,234,114
2019-11-06 10:33:04,234,114
2019-11-06 10:33:05,234,114
2019-11-06 10:33:06,234,114
2019-11-06 10:33:07,234,114
2019-11-06 10:33:08,234,114
2019-11-06 10:33:09,234,114
2019-11-06 10:33:10,234,114
2019-11-06 10:33:11,234,114
2019-11-06 10:33:12,234,114
2019-11-06 10:33:13,234,114
2019-11-06 10:33:14,234,114
2019-11-06 10:33:15,234,114
2019-11-06 10:33:16,234,114
2019-11-06 10:33:17,234,114
2019-11-06 10:33:18,234,114
2019-11-06 10:33:19,234,114
2019-11-06 10:33:20,234,114
2019-11-06 10:33:21,234,114
2019-11-06 10:33:22,234,114
2019-11-06 10:33:23,234,114
2019-11-06 10:33:24,234,114
2019-11-06 10:33:25,234,114
2019-11-06 10:33:26,234,114
2019-11-06 10:33:27,234,114
2019-11-06 10:33:28,234,114
2019-11-06 10:33:29,234,114
2019-11-06 10:33:30,234,114
2019-11-06 10:33:31,234,114
2019-11-06 10:33:32,234,114
2019-11-06 10:33:33,234,114
2019-11-06 10:33:34,234,114
2019-11-06 10:33:35,234,114
2019-11-06 10:33:36,234,114
2019-11-06 10:33:37,234,114
2019-11-06 10:33:38,234,114
2019-11-06 10:33:39,234,114
2019-11-06 10:33:40,234,114
2019-11-06 10:33:41,234,114
2019-11-06 10:33:42,234,114
2019-11-06 10:33:43,234,114
2019-11-06 10:33:44,234,114
2019-11-06 10:33:45,234,114
2019-11-06 10:33:46,234,114
2019-11-06 10:33:47,234,114
2019-11-06 10:33:48,234,114
2019-11-06 10:33:49,234,114
2019-11-06 10:33:50,234,114
2019-11-06 10:33:51,234,114
2019-11-06 10:33:52,234,114
2019-11-06 10:33:53,234,114
2019-11-06 10:33:54,234,114
2019-11-06 10:33:55,234,114
2019-11-06 10:33:56,234,114
2019-11-06 10:33:57,234,114
2019-11-06 10:33:58,234,114
2019-11-06 10:33:59,234,114
2019-11-06 10:34:00,234,114
2019-11-06 10:34:01,234,114
2019-11-06 10:34:02,234,114
2019-11-06 10:34:03,234,114
2019-11-06 10:34:04,234,114
2019-11-06 10:34:05,234,114
2019-11-06 10:34:06,234,114
2019-11-06 10:34:07,234,114
2019-11-06 10:34:08,234,114
2019-11-06 10:34:09,234,114
2019-11-06 10:34:10,234,114
2019-11-06 10:34:11,234,114
2019-11-06 10:34:12,234,114
2019-11-06 10:34:13,234,114
2019-11-06 10:34:14,234,114
2019-11-06 10:34:15,234,114
2019-11-06 10:34:16,234,114
2019-11-06 10:34:17,234,114
2019-11-06 10:34:18,234,114
2019-11-06 10:34:19,234,114
2019-11-06 10:34:20,234,114
2019-11-06 10:34:21,234,114
2019-11-06 10:34:22,234,114
2019-11-06 10:34:23,234,114
2019-11-06 10:34:24,234,114
2019-11-06 10:34:25,234,114
2019-11-06 10:34:26,234,114
2019-11-06 10:34:27,234,114
2019-11-06 10:34:28,234,114
2019-11-06 10:34:29,234,114
2019-11-06 10:34:30,234,114
2019-11-06 10:34:31,234,114
2019-11-06 10:34:32,234,114
2019-11-06 10:34:33,234,114
2019-11-06 10:34:34,234,114
2019-11-06 10:34:35,234,114
2019-11-06 10:34:36,234,114
2019-11-06 10:34:37,234,114
2019-11-06 10:34:38,234,114
2019-11-06 10:34:39,234,114
2019-11-06 10:34:40,234,114
2019-11-06 10:34:41,234,114
2019-11-06 10:34:42,234,114
2019-11-06 10:34:43,234,114
2019-11-06 10:34:44,234,114
2019-11-06 10:34:45,234,114
2019-11-06 10:34:46,234,114
2019-11-06 10:34:47,234,114
2019-11-06 10:34:48,234,114
2019-11-06 10:34:49,234,114
2019-11-06 10:34:50,234,114
2019-11-06 10:34:51,234,114
2019-11-06 10:34:52,234,114
2019-11-06 10:34:53,234,114
2019-11-06 10:34:54,234,114
2019-11-06 10:34:55,234,114
2019-11-06 10:34:56,234,114
2019-11-06 10:34:57,234,114
2019-11-06 10:34:58,234,114
2019-11-06 10:34:59,234,114
2019-11-06 10:35:00,234,114
2019-11-06 10:35:01,234,114
2019-11-06 10:35:02,234,113
2019-11-06 10:35:03,234,113
