Battery Voltage,Internal Temperature,External Temperature
0.1,-30.2,-1.0
0.2,-30.2,-1.0
0.2,-30.2,-1.2
0.2,-30.2,-1.2
0.1,-30.2,-1.2
0.2,-30.2,-1.2
0.2,-30.2,-1.5
0.2,-30.2,-1.5
0.2,-30.0,-1.5
0.2,-30.0,-1.5
