Battery Voltage,Internal Temperature,External Temperature
0.2,18.0,8.5
0.2,16.0,8.5
0.2,14.0,8.5
0.2,12.3,8.5
0.2,10.3,8.5
0.2,8.8,8.5
0.2,7.3,8.5
0.2,6.0,8.5
0.2,4.8,8.5
0.2,3.8,8.5
